id,transcript,rating
oDRzdTHRPIE,"I'd like to keep this channel strictly around property investment however so many people are asking me my opinion on corona the truth is I'm not really sure exactly what I think about it in terms of what a lot of the other guys are saying you can't ignore the fact that so many very rich people Robert Kiyosaki Grant Cardone even Elon Musk and people talking about the corona as if it's a little bit of a scam about the government adding it with an agenda there is no Kovach 19 it doesn't exist and now I've got governments regulators trillion-dollar Silicon Valley companies and basically every social media platform Under the Sun that have banned me they're coming after me they're coming after my company and coming after my reputation stop the [ __ ] media people you're blowing this up because you know full well one thing that the worst you make it look the more people will watch the news and right now and lock down to it we can't leave the house well you know number one you can go out it's it's interesting to me how many people are just so easily giving up on their freedom and just going into agreement with the regulations look how many people just said okay must stay in know almost no one's challenging it yeah I'm not staying in I mean I'm in my studio right now I think they said I'm not supposed to be here the police had been here like three times this week and I got a security guy that said yeah tell them mr. cardones inside I'll tell them he's not supposed to be here like like like I'm not going to give up on my freedom okay like I'm not going to give up on my ability to produce and to create I've gotten more covet emails man during this time and it all starts off the same way during Coe bid 19 I hope your family's well dude I didn't I'm not reading your email because I need you to wish good stuff for my family what can you do for me how can you help me how can we make money together yeah but then you say it's gonna be a little harder you have to speak to little people but then you also say we need to think bigger so well yeah because if it's gonna be harder yeah bro there better be some gold down there and to get if the ground is harder to pick in there better something underneath that ground if the works harder the payoff ought to be bigger yeah and when the payoffs not big enough what happens is people quit sure see I'm confident this whole thing has got nothing to do with a virus I'm confident this is completely about wealth redistribution where we're going through the one of the biggest wealth redistributions in the history of mankind so what's not going to look like so what that means is that means people in the middle class are basically having money wealth taken from them yeah and it's getting redistributed yeah everybody in America gets a $1,200 check alright it looks like everybody in America is gonna get a $1,200 check but what happens is what happens once you get to 1200 most of those people are gonna go spend it on some stupid stuff mmm and this is what the wealthy know yeah give them all the money they want they're not gonna keep it there's no plan to keep it there's no plan for well there's no plan to invest you can't get money from me because I take my money I get rid of money and I buy a real property with it whack the people that were half committed if you were not 100 percent committed to your tasks like Elon Musk is Elon Musk ain't he he's not stopping anything yeah so this is almost going to draw a line into the sum between the people that are the real action takers the real hard work was the real commit people and those that are not really serious the people that have partial commitments just gave up the people that have 75 percent commitment most of them have given up I mean you have to have be obsessed or be average yeah you have to be completely insane in a good way but then they run you got to be this guy right here yeah ain't no buyers gonna stop him this is a net this is a manufactured Great Depression when there was real unemployment now they have to manufacture unemployment I mean it's more frightening than I ever imagined it's more dastardly as more deceptive it's more criminal than I ever imagined I'm not that I'm afraid but I feel for the people who were to the people who really think it's about the virus not the biggest cash highs going on behind their backs in the repo market the commercial paper market and the credit markets they just can't see their money is being stolen via their money I would love to know what you think about all this craziness listen I know how to make a lot of money in property I don't want to speak too much about the coronavirus I don't want my YouTube channel to get taken down like many other people's videos are getting taken down but what I do know is that they're printing a lot of money right now what I do know is that the rich are gonna get richer and the poor are gonna get poorer because this pandemic is going to create opportunities but it's also going to crush many many people do I think the government are doing it deliberately I'm not really exactly sure I want to know your thoughts comment your thoughts below I'm very very curious also the full interview with myself and Grant Cardone that's going to go live tomorrow we're not just going to be talking about coronavirus we're gonna be talking about how to thrive not just survive but thrive through 2020 if you want to see the full interview subscribe right here I'll see you real soon peace out god bless you comment your thoughts around this pandemic below lockdown Korona quarantine what do you think comment I'm very curious or with every comment ",3
2ACWWVuhwzc,"alright guys this video is the only video you'll ever need to see to show you how fatal coronavirus is compared to the flu as it stands right now this is the only one you have to watch this is the easiest and simplest proof and facts that show as hard as it is to believe you know what I'm gonna say it I'm gonna draw any conclusions I'm just going to let you just make those up for your mind because I'm just gonna present these facts to you and you're gonna see and you have no choice to accept what is in front of you even those that are just blinded and think CNN is the actual real news network that tells the truth and if you like Donald Trump done like a Donald Trump ad ain't gonna matter you did this proof in front of you is undeniable so this is what looking at death rates from coronavirus Cove in nineteen in the United States as of April 29th or April 9th 2020 by state for one or a thousand right so this time people are dying per 100,000 people right it's very simple it doesn't matter who cares what it is the higher the number the more people are dying that's all comes down to this is deaths rates for influenza pneumonia in Canada from 22,000 to 2017 there's the numbers this is the ones in America so you know what don't need Canada let's just do America to America America to America alright and this is the numbers right there death by influenza pneumonia in the u.s. from the 50s to 2017 there's the number per 100,000 there's exact one per 100,000 right we're all on board here and in here we have the whole world and they have desper 1 million so obviously we all know that there's 10 100 thousands in a million because 10 times 1 our thousand is 1 million and if you want to do that you just have divided by 10 so if 71 divided by 10 is 7.1 380 divided by 10 is 38 so we're all I mean 3 yeah 38 right we're all falling along as it stands right now in New York has the highest deaths per 1000 people from Cove in 1932 now before we go into that I also have to give you full information that you do it probably haven't known about from leaked information from the National Vital Statistics system of Stephen Schwartz director or a doctor to see the shores director of vital statistic National Center for Health Statistics in Toledo Rhode Island erode Toledo road rather in heights Maryland this is the system that keeps track of all the deaths or kovin 19 and in reports there's websites like this okay now one thing you need to know is that should covin 19 here at the bottom be reported on the death certificate only with a confirmed test follow down below here Cova 19 should report on the death certificate for all the descendants where the disease caused and this is the highlight you might want to pay attention to or is assumed to have caused or contributed to death you guys got that or is consumed assumed like no proof but we assume that it contributed to death so it's like might have maybe it didn't the recovery iron line to see if there's like chronic conditions like COPD or asthma they also contributed or cancer or heart disease or who knows what could have contributed to it but you know what if it's if you have any if you think it it did in any way whatsoever though proof without even any testing mark it as a death but you know what forget I even said that you know what who cares let's just roll with this this is this role that they you know that they converse inaccurate and everyone who dies oak over 19 was a perfectly healthy stud muffin like yours truly and I just died okay that just died I'll God still going to improve you wrong for those people that are trying to say that the media is right and Kovan 19 is so bad and oh my god the world's ending we need to give up our freedoms and lock everybody up and start ticketing people and force vaccinations we need enforce vaccinations and get IDs and check posts and you can't leave your house without your confirmed coronavirus vaccination certificate that you are a clean upstanding citizen and we need your microchipped as well we need to force vaccination and microchipped you 32 worst in the all of america right display influenza last year was fourteen point two right for what our thousands just look at the numbers 32 14 damn that's horrible right I mean but I need to look back down these over here at 98 stuff before I guess they had vaccinations right look how high they were back then there's no vaccinations but we have vaccinations now he thoughts well we didn't back here and the worst place in the world right now New York 32 but let's not even pay attention to the rest of America that is 1 1 1 1 1 2 2 2 3 4 5 7 and when you add all these up together and put it as one country oh my god this 32 also turns into like an average of all the rest which is probably like a seven like a six five I don't know maybe a four because 99% of America is down here you know besides one two three four states the other the other 50 states are all ones that are not even reporting it's don't inhabited only that's time in fifty four states I didn't attend all of America maybe another fifty four states in America I'm Canadian I could be wrong on that so don't hold it to me doesn't matter my geography is not the test here what the point is you have to see these numbers but my god yeah we have vaccines eight thoughts who care so you got fourteen point three bit vaccinated B vaccine against the flu but still fourteen point three appeal per hundred thousand died yeah well hey man I mean if you just take all of America right now it's seven point one because you know we got desperate 1 million population right in USA you have to divide that by ten you get 7.1 how about Spain 38:33 the worst in the world Spain's 38 so are they're on par with like you know when it was really bad back in the 90s 80s you know [ __ ] man 70s we didn't shut down the country then we didn't like take people's rights away we didn't force vaccinations we didn't stop people's movements we didn't have 24/7 news people of fear-mongering I mean look at Canada Canada's two point one I mean can that was twenty one ten times as high the death rate per 100,000 in Canada was 21 last June 2017 you guys saw that 21 I mean should I bring it up here I think I have in my history don't I there is it right there yeah there's Canada right there 20 last year in 2017 20 what's it now it's the same per 1 million I mean that you only year oh you're getting it takes you a million people in Canada right now to equate the same level as it did here and people wondering like my wife wonders why do you make these videos eight thoughts why do you care why do you keep making these videos why you're trying to show people the truth I mean five point five and Iran thirty three point seven in Belgium and like here's the thing too that doesn't make any sense right I mean why why is the question doesn't make any sense why because I feel as if the more people that know about this the more people are awake I feel it's my duty even though you get so many dislikes that so many people leaving comments down below and getting so mad and telling me to go die and I you know you're such a loser and it's so big deal you're just stupid eight thoughts stick to make up on a call the duty beauty and these feels let me get that many views I just feel it's my duty that people need to know the truth because always see something's going on here this isn't making sense I mean 14.3 there is no state in America outside of New York that is that is at that Louisiana these places here that's it are on par with the with the flu yeah he thought you know what though could be so much higher if we weren't doing social distancing well Sweden isn't doing social distancing at me but if you guys don't know that Sweden is not doing social distancing not at all one thing they're doing is they require asking people they're older than 70 or have health problems maybe you should stay at home and social isolator not go out that much and schools are open elementary schools are open high schools are open bars are open restaurants are open businesses are open telling people to take precautions be smart about it try not to hang out too much but you know carry on with your lives and businesses are gonna keep going they have 91 deaths per 1 million that would equal 9.1 without any social distancing where they go Sweden were Dell are they who the hell are they Sweden right there 9.1 right here right lower than influenza has ever shown in the history of America or Canada I just I have to make these videos guys because I can't stand in any like I said also keeping the consideration or is assumed to have caused or you know ARCA to to death come on folks um is going on I don't know what it is if you're into agenda21 and conspiracies of new world order and controlling people and destroying small businesses so bigger businesses can get have more power and people that I put this out on Twitter and I know a lot of you could understand that you're like hey thoughts how is this gonna make people richer well when the stock market crashes people sell or people are short stocks I can't go on an accountant explain to you what shorting stocks is just Google at what is short and stocks people short stocks which means you're basically betting that it's gonna collapse they can do that in the stock market you're betting that the stock market's going to go down and you can make them a bunch of money what you do is this a simple explanation is if you have a lot of cash people are selling stocks because they rely on that for like their to pay bills they rely on it to like you know for interest rates and somebody then they start to panic and they sell well the rich buy it and then what inevitably inevitably the stock will go up again when everything settles and the rebounding of the economy occurs and they will sell back to the people that now originally sold it or didn't sell it or people who have money in the middle class as it always happens that money starts going back in the middle class and the rich sell it back to them again at a huge profit also small businesses start to get destroyed in the bigger businesses takeover like the you know the Walmart's the moment pop shops are gone the amazon's government the government corporate government run organizations also get contracts for all kinds of things with viruses with medical supplies who knows but I don't know guys might want to wake up to this you can't lie you can't deny these members there's this is right in front of you this is right in front of you it's right there one two three four come on seriously besides America I mean New York rather the rest of the country is below that that's per 100,000 in compared to Canada and below on average America expects you back in the 90s and what another four they had all these vaccines coming in for the whole people mostly Jesus all right also on top of that most bill dying from covert are all old this is all old people 99% old or people who are [ __ ] up to begin with all right I got to spread truth I can't stop myself I just I hate liars and I hate misinformation and I hate agendas and I don't trust the government and I don't trust you Andy's medical establishments because the stats show us we shouldn't trust them so I'm gonna keep making the videos that's it by ",2
TtT0ue_PWZ8,good morning again everybody praise God I am so sorry that the last video was abruptly interrupted but hehe actually start the video start to play itself over and instead of stopping the computer I stopped so I do apologize it wasn't them dat that time it was me I told you I'm not a really ticking person you know but anywho so I have another information so more information so basically the guy in the video um he was on target and I knew that cuz God had told me that my in my spirit the coronavirus is just a straight-up hoax that was actually man-made you know but you already know they have date genders so this video is gonna really tell y'all what they're doing as far as but they've always done so you see my subject coronavirus straight up a hopes for their agendas to introduce me where order so remember when I did the video um I think it was what last week when I did the video on this is just a thing too for agenda 21 well I got some more information for you guys and pay attention play attention pay attention this is called event 201 now what it is is a program it's called a global pandemic exercise okay so how much other remember event two or one and I'm gonna try to go and google it and it's in and you're gonna find out all this information it's called event 201 now I remember agenda 21 so everything is real so the John Hopkins center for health security and partnership with the World Economic Forum and look at this bill and melinda gates foundation hosted event 201 a high-level panda minute exercise on October 18 2019 in New York New York the exercise Illustrated areas where public and private partnerships will be necessary doing the response to severe pandemonium in order to diminish large-scale economic and social compass I'm sorry science or Consequences alright so basically that's the same thing they're doing here this is nothing but a big drill or big exercise I'm not gonna read all of it I challenge you to go read all of it all you have to do is Google event 201 well I'm gonna tell you right now I'm on that wall and anybody could stop me what you're gonna do I mean you know hey it is what it is you can say what you want but I'm not gonna read it out I want you to go read it off we event 201 and you're gonna read everything that they've been doing look look how I said today table and they do I told you they probably all had Coronas all of them and it was laughing to my let's save coronavirus I'm just saying this is what it's all about Center for health security all it is is one big game y'all better understand what I'm saying you know um and the crazy part is even before the coronavirus right this is a statement about the NCO V now I'm just saying because ain't that calling it the covert 19 well this was done on October 18 2019 so where is it right here you see the NCO V so was just already to prepare they think people crazy I mean we're not the smartest people in the world but we're not the dumbest either come on somebody so it's called event 201 so y'all go ahead googled it and see what they're doing just like I told you event to 201 agenda 21 y'all need to go and read everything you know didn't they this is a statement about the exercise - let's see I see what they say statement you see look don't they call it the CoV 19 so this was in October 2019 and they're called this event 201 you don't understand what they do I'm like okay all right and all it is and look look oh oh there it is NCO V 219 so and alone it was a fictional virus potential look at a potential impact of that fictional virus we are not predicting that in CoV 2019 outbreak will kill 65 million people although our tabletop exercise included a mock novel uh-oh here we go here we go coronavirus this was in October 20 19 yeah I don't see what they don't I told you they was lying I told y'all they was lying I mean I'm just saying this happened in October 2019 so how did they know oh so this is mr. exercise this wasn't and again this is this is event 201 so in October 2019 the John Hopkins center for health security hosted hold on a minute okay and then a top-level exercise am I ready to get a mock novel coronavirus BAM so somebody like some body line because this happened in October 2019 okay I'm done I don't have to keep going over and over I show job and hold on look what they say this was an exercise predicted in the current novel coronavirus outbreak in China hold on hold on so wait a minute hold on I gotta do this again October 2019 this y'all see right October 2019 we model hold on we model a fictional coronavirus panda money pandemic but explicitly stated that it was not a prediction all right we model a fictional coronavirus pandemic and notice what it says the current right here current novel coronavirus outbreak in China this was in October 2019 gotta gain they playin man we got a game they plan yeah y'all see this y'all see this y'all see this huh got a game they play so they're already said that the of them and it was a novel it was this was a novel y'all the current novel coronavirus outbreak in China and again I'm a shorten and I'm getting off here in October 2019 there you have it all you got to do is to find out this information is go to event 201 y'all I told you they were lying straight up so this was from a novel this won't even room oh my god my god y'all better open your eyes I know y'all don't wanted to touch y'all new world order that's what they doing martial law and remember the event is called 201 but this wasn't in October 2019 all right I'm done this is a possibly an addiction i'ma still on the wall all right god bless you roll out soldiers for that is who we are god bless a whole novel a whole movie I'm sorry I don't mean right there just really make me mad the current novel outbreak in China Wow I have a blissful good day ,3
gnQL-brI-9I,"The spread of the coronavirus The spread of a deadly new virus How deadly is it, how fast can it spread, and how prepared are we As experts fear it could become a pandemic It can lead to organ failure, pneumonia and death. There's no treatment, so prevention is a top priority. The recent outbreak of a novel coronavirus now called COVID-19 has left many of us worried and paranoid about our own health, as well as interacting with other people in carrying out everyday tasks such as traveling on public transport. At the time of film in this video, the number of people diagnosed with the virus worldwide is nearing a hundred thousand and the number of people who have died is currently over two thousand, and is set to continue rising. Fears are growing that it won't be possible to stop the global spread of coronavirus. Health experts have warned that the chances of containing it are diminishing as cases appear in more countries. This means that COVID-19 is overtaking the SARS and MERS viruses in regards to the number of people killed and also infected. This video isn't about coronavirus. This is about something much worse, something that you may have never even heard of. Something the experts have predicted will kill 10 million people each year by 2050. To put that into perspective the World Health Organization has stated that cancer killed an estimated 9.6 million people in 2018. The risk is so urgent that a recent United Nations report claimed that common diseases are becoming untreatable and the World Health Organization has described it as one of the biggest threats to global health. The risk is antibiotic resistance - a problem that occurs when bacteria adapt, gradually causing antibiotics to become less and less effective until we are left with diseases that we are unable to treat. If we can't get this under control by 2050 not long, the worldwide toll will be 10 million deaths a year. Currently around 700,000 people around the world die due to antibiotic resistant diseases every single year, with over 200,000 of those deaths coming from a drug-resistant tuberculosis, yet even though the number of people being killed right now by antibiotic resistance dwarves the number of people at risk from COVID-19, many of us have never heard about this problem. The problem is becoming so severe that issues like urinary tract infections and STDs are becoming resistant to treatment. There is even a super resistant strain of gonorrhea which has developed resistance to nearly all of the antibiotics used for its treatments. A world without usable antibiotics is a world where the diseases and infections that we currently regard as being trivial could become deadly. Illnesses like pneumonia could kill tens of millions of people, as could sepsis. Organ transplants will be extremely dangerous, and cancer fighting chemotherapy will be severely affected, as antibiotics are needed to fight off infection as chemotherapy destroys our white blood cells. Even procedures like hip and knee replacements and dental work could become dangerous, and even life-threatening. The so-called miracle of modern medicine would cease to exist and our healthcare systems would regress to the state they were in in the early 20th century. So why is this happening? Well firstly because doctors and medical professionals are handing out too many antibiotics, leading to calls for them only to be given out when they absolutely have to be. An even bigger and more widespread problem is related to the food that we eat. According to the FDA in the US, 80 percent of all antibiotics sold are used on animal farms, and in Europe animals consume more antibiotics than humans, meaning that the use of antibiotics in animal farming is driving the rise of resistant bacteria. Our conservation of animal products is creating one of the biggest threats to human health on our planet right now due to the fact that we raise animals in such a horrific way that they require antibiotics to keep them alive just long enough that we can then cut their throats or kill them in a gas chamber and then eat them. On much of the planet, most meat animals get antibiotics every day of their lives not to cure illnesses but to fatten them up and to protect them against the factory farm conditions they are raised in. It is such an absurd system that is not only responsible for killing trillions of animals every year, but is leading the way in creating a global health crisis that within the next few decades could be killing more humans than cancer every year. It is also worth mentioning that the new coronavirus (COVID-19) is reported as starting in an animal market where wild animals and live animals are traded as well, meaning that again, in the same way as outbreaks have been caused in the past, our exploitation of non-human animals has created the new coronavirus outbreak. Killing non-human animals is in turn killing us as well and even if we create new antibiotics in the future this cycle of bacteria becoming resistant will continue if we don't change. To make matters worse, pharmaceutical companies are currently infecting animals with COVID-19 in the hope of finding a way to create a vaccination. And so because of our desire to kill and eat animals, more animals now have to suffer. How can it make sense? The most important medication that we have in the world is being squandered. Keeping animals alive just long enough so that we can fatten them up, slaughter them, and then eat them, in turn causing our leading diseases such as heart disease and certain forms of cancer. Everybody suffers when we exploit others. Is this an absurdity that we will recognize and prevent from getting worse, or will we continue to turn a blind eye and then in the future look at our children and tell them that we're sorry, but bacon just tasted too good. ",1
YRqEscW7IPw,ever since the corona virus pandemic caused travel restrictions lockdowns and economic downturns around the world it was being expected that this pandemic will give way to a new world order China is being accused of causing the pandemic by mishandling the covert 19 outbreak and covering up its severity the Chinese regime did so with the help of its authoritarian regime where the voices of doctors and citizen journalists were muzzled it did so with its deep influence in the w-h-o which helped Bluff the world and now it has resorted to acts of aggression in the time of the pandemic be here in Hong Kong the South China Sea or the border with India now China is facing serious backlash from every direction and there is an increasing sentiments to hold the CCP regime accountable Beijing fears a shake-up in the global equations and its fears have come true as Donald Trump has proposed to expand the g7 by inviting Russia India South Korea and Australia to join the group of most advanced economies this is a clear sign of the new world order which is here as the expanded g7 consisting of g7 countries and India South Korea and Australia the three countries have reportedly accepted Trump's invitation the extended group is likely to meet in September to discuss China's future this comes days after Trump called for the expansion of the quote-unquote very outdated group and said that the meet would now be held in September November India Russia South Korea and Australia should also be invited the president has said that countries like India Australia South Korea and Russia should also get representation in the grouping and it should be called the g10 or g11 Trump said I'm postponing it because I don't feel that as a g7 it probably represents what is going on in the world only Russia seems unlikely to join the expanded g7 because the suggestion of bringing Russia into the extended fall hasn't gone down well within group of world's most advanced economies the UK and Canada have opposed Trump's invites to Russia Russia was excluded from this group earlier called the g8 and response to his invasion of Crimea moreover Beijing and Moscow have been showing a sense of camaraderie admits the ongoing pandemic and it doesn't sound reasonable for Putin to join a group that is clearly aimed against China however in the case of a triangular world order where the US Russia and China from the three different polls anything is possible above this earlier it was reported that the UK was planning to propose a d-10 alliance of 10 democracies including India to counter Chinese CCP backed 5g giant Huawei the prospect of an expanded g7 coming together has riled up China and Beijing has been castigating countries on this latest development Chinese foreign ministry spokesman Chao Li John has said China believes all international organizations and conferences should be conducive to mutual trust between countries - holding multilateralism promoting world peace and development he added that we believe this is a role of the overwhelming majority of the countries in the world any attempts to seek small circle against China is doomed to fail and is unpopular clearly the expansion of the g7 with an eye on Beijing hasn't gone down well with China China knows that this group of high-income countries can hurt it like never before these countries can easily use their economic prowess to keep China out of the supply chains and harass its exports based economy moreover within the g10 or the expanded g7 smaller groupings like the quad consisting of India Japan Australia and the United States could come together to further bolster their Indo Pacific strategy of isolating China and strategically crucial maritime region all countries in expanded g7 except India are high-income developed economies but that doesn't in I mean that new delhi's roar will get undermined in fact the whole strategy to reduce dependence on China and to counter its expansionism is centered around India Trump has included India within the expenditures seven keeping in mind that the country would play a big role in replacing China as a premier investment destination and a manufacturing hub for the company is based in the developed world and there may be a developing economy but it is at the center of this expanded intergovernmental economic organizations strategy to approach China's hegemony and welcome a new post coronavirus world order in which China's row will get watered down drastically you ,2
n-N5jcUEDGA,"[Music] welcome back to the heat is there a power structure in place in Washington that operates like a shadow government what some refer to as the deep state joining me now here in the studio is Frank H Buckley he is an author media contributor and professor at George Mason University Law School he's the author of the book the way back and joining us from California is Eric great sir he is a geopolitical analyst and he's the host of counterpunch radio welcome to both of you to the show thank you for having me let's start out in California with Eric and Eric you just heard what Mike Bluffton had to say about the deep state he's done a lot of work on this he's worked at Congress he's seen it firsthand what did you make of what he said well I think there's a tremendous amount of truth in what Mike was saying and I think that he is quite correct to point out that essentially the deep state should be understood is more or less an interlocking system wherein government agencies and apparatus within those government agencies and those in the private sector those within the military-industrial complex and so forth that that essentially works towards a common agenda a common set of goals although it is not something that is necessarily conscious and it's not something that is necessarily planned out in a monolithic sort of way and I think that one of the points that was being stressed and I think it's critical to note is that the deep state does not act in concert it's not a monolithic entity it's not a differentiated cabal but rather it is a series of factions many of whom are at each other's throats right now and I think that Trump has in many ways brought that into stark relief and that's one of the most critical contributions to the discourse thus far namely that the deep state is not one single entity but that it is in many ways the manifestation or the architecture of the ruling establishment within the state apparatus Frank what are your views well I think it's helpful to remind people that we're talking about not one single thing about 27 different things and the question is do they add up to one single thing and I think I think I'd say not there are many different things going on things we should like to correct and things that are hard correct I mean for starters I think it's useful to distinguish between private groups out there that are trying to influence politics and and then the the regulators the administrators and in government as for the private groups out there look I get emails every day from these guys you know as you noted they're not trying to cover up their publicizing their stuff as best they can there's nothing like even close to a conspiracy instead you have different contested groups I think it's more helpful to push them off the table and to talk about about the bureaucrats in Washington who are I think systematically in favor of government surprise I mean it's government that hires them and therefore systematically opposed to administrations I'd want to shrink the size of the state drain the swamp as it were and and that really that's something one lives with basically it ascends to a problem when you talk about people like general Flynn that's a special kind of issue but is it necessary then for these groups to have relevance to have a function that this country be constantly in a state of tension with other countries around the world and to be at war with other countries around the world well that's a separate issue and it's one where hopefully the president administration will roll back some of those efforts at war I thought Trump hope I hoped Trump was the peace candidate I must say we'll see how that turns out but it certainly was the case that he didn't believe in foreign adventuresome his foreign policy speech was one which talked precisely about the opposite every given what we know are you in any way surprised that there isn't more outrage about what we're hearing right now there isn't more calls for accountability on the part of the public on the part of those people who have vote these politicians into power well to some degree I think there is and I think that's manifested in some of the media coverage in particular some of the major corporate media outlets in the United States that have been giving some play to a lot of these issues but I think that there's also another important facet to this and it's I guess in response to the previous comments there are namely that this separation between the private sector the private institutions and the government institutions I think is to some degree at least artificial because as we know there is a revolving door between the US government and the private sector whether it's Wall Street in finance capital or military contractors mercenary companies or a big oil big agribusiness or what have you so a lot of what we are calling here the deep state is in many ways the fluctuation the ebb and flow between these various facets of power in the United States and in many ways it is a somewhat permeable delineation between those two and I think that that's part of what we're seeing here because as Trump is able to posture as a populist and isolationist and anti interventionist and so forth during the campaign he's still very much embedded with private contractors with those who benefit from military contracts he's out there publicly today talking about raising the the military budget some ten percent or fifty four billion dollars many elements within the deep state are billing to benefit significantly from many of the policies that Trump is putting forward and that's why I would certainly reject the storyline or the narrative that somehow the deep state is at war with Trump I think rather the Trump administration this incoming administration or the administration we see now is a battlefield within which the elements in the deep state are fighting it out what do you think Frank is there or at least is the president the target of the deef stay more I listen to this some more I think the term the deep state should be banished from the language but I will say there you know there are elements of a problem that need to be addressed for what for example one thing I think I became clear in the last election round is money does not buy votes much in politics I mean Hillary outspent from two to one you know much good it did her on the other hand when people talk about the influence of lobbyists in Washington there I'm on their side I mean at this point it looks as if Congress is something of a farm team for K Street you leave Congress and 50% of the ex-congressman take a job as a lobbyist that's how you get a thousand-page bills with 20,000 pages of regulation attached we can't stop lobbyists from talking to congressman we don't want to but we don't want or shouldn't want to see lobbyists contributing money to politicians there is one view that right after the election I mean I think we could say that there was a state of shock in the country when Donald Trump was elected and straight after that those forces that strongly supported Hillary Clinton and the others made a concerted effort to undermine the guy who was just was just one yeah and much of that is just so you know what happens in a free society I mean I pick up the Washington Post every day and there are two stories in the front page about how terribly is in the Metro section and the Style section and even the sports section for gosh sakes but that's fine one has a free press and and they're able to do that the greater concern I suppose is not merely bureaucrats who will oppose the Trump agenda and one lives with that but the extent to which one fears that improper or you uses are made of their knowledge to destabilize your presidency and of that I you know I mean I have problems with what happened to Mike Flynn but apart from that it's going to be a matter of some house climbing by by people like general like Rex Tillerson right Eric that's a point I mean could we see this actually being counterproductive for what we might call the Greek the the deep state I mean what if as this administration beds down as it finds its feet it starts a major purge of these organizations and replaces all those people in upper management middle management with its own people well to some extent that's that's politics I'll get to you in a moment is gonna get that from Eric it's fine go ahead Eric well I I do think I do think that there is an element of that that's part of what we've seen certainly with some of the personnel changes in the State Department is one example but in a number of other government agencies as well so there is an element of that happening now but of course the danger is well really twofold on the one hand eliminating many of the operators and so you know let's call them technicians of the bureaucracy of the US government thereby making it even more dysfunctional and on the other hand of course creating such a furor within those institutions that it undermines and destabilizes the government itself and so I think that Trump is really playing rather dangerous game if he moves forward with a full purge and I think that that's part of the reason why you're seeing Trump backing away from a lot of these positions and really becoming more amenable to the political geopolitical and strategic agenda of the US government as it has been to this point okay Frankie what did he say well I think the main reason why he's not going to go through a major purge is because these people have tenure and and you can't just go around doing that but you know in many cases one would hope to see that there would be a change in the administration for just trivial example let's say the National Endowment for the Arts for example I mean presumably the president would like to have his own team in there this is why there are political appointees who will tell the bureaucrats the permanent folks what to do ditto in the State Department that's really how it's supposed to run I don't see a problem with that and this is not a new phenomenon and we saw it during the Hoover era didn't we oh yeah right well you know it's funny when you talk when you think about that I mean if there is such a thing as a bad old deep state that would it misbehave well in one case it might be revealing information in the other case it might be not revealing information right and there seem to be a lot of cases of strategic non-disclosure involving say John Kennedy we're gonna have to leave it there gentlemen thanks to both of you for joining us ",1
"vk8V4kOugyc,",as the Russia plot thickens the deep state is going mainstream right tonight we start with proof the deep state is real in America and that you the American people see what is really going on it's about a deep state trying to drag a crook across the presidential finish line and trying to destroy the man Americans wanted in the Oval Office wants the preserve of conspiracy theorists now the President of the United States calls himself a victim of it unelected deep-set operatives who defy the voters to push their own secret agendas are truly a threat to democracy itself for believers the deep state is a mysterious faction of opposition bureaucrats in Trump's case a shadowy cabal of Obama supporters entrenched in government intent on bringing him down a belief firmly held by Corey Lewandowski Trump's former campaign manager he had a phone conversation with Teresa May that phone conversation transpired in Air Force One I believe Air Force One has a secure line of communication particularly when he's having a conversation with a world leader do you think leaks are evidence of the deep state but no less than of course no less than 30 minutes after hanging up that phone call the media was reporting on the conversation that transpired that should be an issue security CERN that the President of the United States is creating conflict with an old ally isn't that the reason these things are coming out because it's behavior it's troubling a lot of people those are classified conversations and the leaking of classified information is punishable by putting people in prison you're Mike good morning I'm going to let people know I'm a true conservative right wing media sees Robert Mueller's investigation into possible collusion with Russia as the deep state in action before its conclusion Trump's supporters have already made up their minds stance freedom across the world if the deep state has a hand in the Russia investigation then you should be deeply suspicious of its conclusions if any investigation is biased by the Preferences of the people who arranged it you should be deeply skeptical of its conclusions accused architects of the deep state say Trump is using the idea to deflect all criticism former CIA Chief Michael Hayden insists that countering Trump on issues like his travel ban does not equal deep state it shouldn't have come as a surprise but it was a bad idea it made us less safe if you want to call pushing back against that evidence of the deep state go ahead but I come back to my view career professionals governed by the rule of law trying to do the right thing for the country what concerns you what keeps you up at night my grade is concerned that the most destabilizing force in the world today is the United States of America and we appear to be erratic and we appear to be moving back away from the key tenets of our foreign and security policy are you worried of course I'm worried Trump has worked hard to delegitimize the Russia investigation that could come to define his presidency if unfavorable he'll likely do the same with Robert mullahs findings but blaming the deep state will only get him so far Amanda Walker Sky News Washington ,1
